TIF,WARD,AREA
1,11,21202534.34
1,12,1692749.1
2,3,325725.9413
2,4,0.018567533
4,4,792189.0641
5,16,1938832.918
5,15,4289727.597
6,13,3560847.249
7,18,4512870.398
8,8,828509.4036
8,7,3380691.497
9,21,9527.664163
9,19,2607071.412
10,10,13167046.24
11,1,26677.3008
11,47,56615.33155
11,33,3582436.581
13,48,1526324.433
17,32,288351.22
18,32,221305.2164
19,32,463427.569
21,16,1472921.403
21,20,0.047058931
23,32,4087154.747
24,24,3645912.312
25,14,696385.4584
26,49,1322165.183
27,38,36623.23391
27,45,1003431.774
28,32,1273.78248
28,44,312791.0788
29,2,1046183.212
29,3,241341.3108
30,32,580173.6592
30,27,11910209.82
30,43,2365872.905
31,2,14266778.51
31,3,2040122.084
32,27,3694460.85
32,2,769402.4751
33,32,6979570.327
33,43,2038.770979
33,1,4362.721872
34,43,747439.4376
34,27,2949172.375
34,32,9229444.324
35,37,2037117.983
36,38,10165768.62
37,25,1804313.391
37,3,1793717.803
37,2,7870809.4
38,29,6453931.356
38,24,17865318.01
39,2,1719474.44
39,25,117055.3367
40,28,0.025808479
40,24,2409071.412
42,22,2732495.996
42,12,8209585.596
43,3,2273705.794
43,11,10715286.32
44,11,5357208.08
44,12,5886528.601
44,20,55726.44764
45,3,7219.119029
45,11,9895516.996
46,36,129935.9549
48,28,12712325.51
48,12,24018.85157
48,24,1577.549206
48,25,6766034.176
48,2,13362285.68
49,6,1597487.893
49,21,48392.32077
50,34,9050410.633
52,27,40470287.73
52,28,83543.61873
52,2,2023237.217
52,26,4626925.283
53,11,16454089.63
53,2,64921.03493
53,25,38757748.15
53,12,2629691.818
54,7,1149.037867
54,9,105653.5738
54,8,26613992.78
55,4,8840638.319
55,3,1285044.774
56,17,7918315.073
56,21,1387052.795
56,18,300018.1811
57,45,3644016.114
58,30,1557109.062
58,38,4729880.891
58,45,2441557.677
59,2,528199.1129
60,7,250716.5781
60,8,5507320.959
60,5,15625077
61,2,5419415.298
61,4,5145780.376
61,3,11760926.61
62,25,973277.5451
62,2,8436420.973
63,2,2899935.415
63,27,75200.77774
63,42,41134.29207
64,27,1641952.431
64,28,21811774.57
64,37,16547878.55
64,31,11319256.44
64,30,81369.0411
65,5,1248182.629
65,20,13283951.72
66,17,1831226.978
66,18,12334105.95
67,25,336945.1531
68,25,2565860.172
68,2,0.013201426
69,37,404369.7018
69,35,21452.44035
69,26,1599977.171
69,27,333913.5182
69,30,6120102.053
69,31,8176637.463
70,48,181434.2603
70,47,1260124.22
70,46,948207.0061
71,36,3097818.158
71,37,6598340.384
71,29,10533055.53
71,31,83799.12506
72,25,441043.1664
72,2,2276229.64
72,3,2596517.461
73,19,3487491.794
74,49,366841.9329
74,40,4018057.451
74,50,5745.363591
74,48,1605468.077
75,28,11891098.03
75,37,43038.31425
75,24,74089.38996
75,29,5202639.073
76,47,5662.166279
76,40,3905542.803
76,50,3916653.149
77,40,4160727.562
77,39,16536.85009
77,50,3353787.098
