TIF,WARD
1,11
1,12
2,3
2,4
4,4
5,16
5,15
6,13
7,18
8,8
8,7
9,21
9,19
10,10
11,1
11,47
11,33
13,48
17,32
18,32
19,32
21,16
21,20
23,32
24,24
25,14
26,49
27,38
27,45
28,32
28,44
29,2
29,3
30,32
30,27
30,43
31,2
31,3
32,27
32,2
33,32
33,43
33,1
34,43
34,27
34,32
35,37
36,38
37,25
37,3
37,2
38,29
38,24
39,2
39,25
40,28
40,24
42,22
42,12
43,3
43,11
44,11
44,12
44,20
45,3
45,11
46,36
48,28
48,12
48,24
48,25
48,2
49,6
49,21
50,34
52,27
52,28
52,2
52,26
53,11
53,2
53,25
53,12
54,7
54,9
54,8
55,4
55,3
56,17
56,21
56,18
57,45
58,30
58,38
58,45
59,2
60,7
60,8
60,5
61,2
61,4
61,3
62,25
62,2
63,2
63,27
63,42
64,27
64,28
64,37
64,31
64,30
65,5
65,20
66,17
66,18
67,25
68,25
68,2
69,37
69,35
69,26
69,27
69,30
69,31
70,48
70,47
70,46
71,36
71,37
71,29
71,31
72,25
72,2
72,3
73,19
74,49
74,40
74,50
74,48
75,28
75,37
75,24
75,29
76,47
76,40
76,50
77,40
77,39
77,50
78,10
79,3
79,11
81,38
81,36
81,37
81,30
81,31
82,30
82,31
82,45
82,38
83,38
83,45
84,40
84,46
84,47
85,47
85,33
85,32
85,1
86,27
86,25
86,2
87,31
87,30
87,26
87,1
87,35
88,40
88,39
88,33
89,14
89,13
89,23
90,45
90,39
91,39
92,18
92,13
93,7
93,10
94,42
94,27
95,27
95,12
95,28
95,2
95,24
96,23
97,13
97,23
97,16
97,14
98,13
98,14
98,23
99,13
99,23
100,42
101,2
102,36
103,8
103,9
103,10
103,7
104,2
104,27
104,42
105,5
105,4
106,6
106,3
106,20
106,16
106,17
107,1
107,26
107,27
107,35
108,26
108,1
108,32
108,35
109,46
109,48
110,46
110,48
111,34
111,21
111,19
112,18
112,19
112,21
113,9
113,34
114,9
114,34
115,28
115,27
115,37
116,39
116,45
117,3
117,20
117,11
117,12
117,16
118,4
118,3
119,4
120,12
121,16
121,20
121,3
121,11
122,4
123,8
123,7
124,13
125,34
125,19
126,4
127,8
127,9
127,6
127,5
128,8
128,7
128,10
129,36
129,29
130,40
131,3
131,11
132,3
133,21
134,40
134,48
134,49
135,49
135,50
136,4
136,20
136,3
137,46
138,17
139,47
140,13
141,4
141,2
142,19
142,34
143,15
143,17
143,16
144,28
144,29
144,24
145,5
146,49
146,50
147,42
147,2
148,23
149,23
149,16
149,12
149,22
149,14
150,47
150,32
150,1
151,30
151,31
152,22
152,12
153,45
154,4
154,3
155,6
155,21
155,17
156,29
156,36
156,28
156,37
157,46
157,49
157,48
158,32
158,43
159,10
160,33
160,35
161,24
161,22
162,22
163,12
163,11
164,22
164,12
164,24
165,39
165,35
165,38
165,30
165,33
166,8
166,9
166,10
167,31
167,30
168,10
168,9
169,10
170,7
171,6
171,5
171,20
172,42
173,46
174,17
174,20
174,5
174,6
